Amazon Product,Flipkart Product,Similarity Score
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",1
"Voltas Beko 20 L Convection Microwave Oven, 10 power levels (MC20SD, Silver)","Voltas Beko 20 L Smart Convection Microwave Oven  (MC20SD, Silver)",1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 21 L Convection Microwave Oven  (MC2146BV, Black)",1
"Voltas Beko 25 L Convection Microwave Oven (MC25BD, Black)","Voltas Beko 25 L Smart Convection Microwave Oven  (MC25BD, Black)",1
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1
"LG 28 L Convection Microwave Oven (MC2846SL, Silver)","LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",1
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1
"LG 28 L Convection Microwave Oven (MC2887BFUM, Black)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28A5033CK/TL, Black)",1
"Samsung 28 L Convection Microwave Oven with Moisture Sensor (MC28A5145VK/TL, Black, SlimFry)","SAMSUNG 28 L Convection Microwave Oven  (MC28A5145VK/TL, Black)",1
"LG 32 L Convection Microwave Oven (MC3286BRUM, Black)","LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",1
"Samsung 32 L Convection Microwave Oven (MC32A7056CK/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056CK/TL, Black)",1
"Samsung 32 L Convection Microwave Oven (MC32A7056QT/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056QT/TL, Black)",1
"Samsung 28 L Convection Microwave Oven (MC32B7382QD/TL, Black)","SAMSUNG 32 L Convection & Grill Microwave Oven  (MC32B7382QD/TL, Black)",1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",1
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1
"LG 32 L All in One NeoChef Charcoal Convection Microwave Oven (MJEN326UL, Black, Charcoal Lighting Heater)","LG 32 L Convection Microwave Oven  (MJEN326UL, BLACK)",1
"LG 42 L Solo Microwave Oven (MS4295DIS, Black)","LG 42 L Inverter Solo Microwave Oven  (MS4295DIS, Black)",1
"Panasonic 34 L Convection Microwave Oven (NN-CD86JBFDG, Black, With Starter Kit)","Panasonic 34 L Convection Microwave Oven  (NN-CD86JBFDG, BLACK)",1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST266BFDG, BLACK)",1
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",1
"Morphy Richards 28DCOX DuoChef Pro-Convection Microwave Oven and OTG Oven, 28 Ltr, Dual Grill, 300 Auto Cook Menus, Silver, Regular","Morphy Richards 28 L Convection Microwave Oven  (28DCOX DuoChef, Silver)",1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SM BLACK, Black)",0.955341801
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (Magicook Pro 20SE 50047, Black1)",0.955341801
"Whirlpool 24 L Convection Microwave Oven (MAGICOOK PRO 26CE BLACK, WHL7JBlack)","Whirlpool 24 L Convection Microwave Oven  (Magicook Pro 26CE, Black)",0.955341801
"Samsung 32 L Convection Microwave Oven (CE117PC-B3/XTL, Black, SlimFry)","SAMSUNG 32 L Convection Microwave Oven  (CE117PC-B3, BLACK)",0.938832194
"Samsung 32 L Convection Microwave Oven (CE117PC-B3/XTL, Black, SlimFry)","SAMSUNG 32 L Convection Microwave Oven  (CE117PC-B2/XTL, Black)",0.938832194
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)",0.938832194
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)",0.938832194
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",0.938832194
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)",0.938832194
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",0.902368927
"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)","IFB 25 L Convection Microwave Oven  (25BC4, Black)",0.902368927
"IFB 25 L Solo Microwave Oven (25PM2S, Silver)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",0.902368927
"IFB 30 L Convection Microwave Oven (30FRC2, Floral Pattern) (Black), STANDARD","IFB 30 L Convection Microwave Oven  (MICRO WAVE OVEN 30FRC2, Black)",0.902368927
"Samsung 28L, Slim Fry, Convection Microwave Oven with Tandoor and Curd making(CE1041DSB3/TL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.902368927
"Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)","Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)",0.902368927
"Haier 30L Convection Microwave Oven (HIL3001CBSH, Black, Crispy Grill)","Haier 30 L Convection Microwave Oven  (HIL3001CBSH:IN, Black)",0.902368927
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Convection Microwave Oven  (Magicook Pro 22CE, Black)",0.902368927
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",0.902368927
"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Convection & Grill Microwave Oven  (MC28A5013AK, Black)",0.902368927
"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025QB/TL, Black)",0.902368927
"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025QB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28A5033CK, BLACK)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with Moisture Sensor (MC28A5145VK/TL, Black, SlimFry)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025QB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with Moisture Sensor (MC28A5145VK/TL, Black, SlimFry)","SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with Moisture Sensor (MC28A5145VK/TL, Black, SlimFry)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.902368927
"Samsung 28L, Hotblast, Slim Fry, Multi Spit , Convection Microwave Oven with Tandoor and Curd making (MC28A6035QS/TL, Sliver, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Convection Microwave Oven  (MC28A6035QS/TL, Sliver)",0.902368927
"Samsung 28L, Hotblast, Slim Fry, Multi Spit , Convection Microwave Oven with Tandoor and Curd making (MC28A6035QS/TL, Sliver, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 28 L Convection Microwave Oven  (MC28A6035QS/TL, Sliver)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28A6036QK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28A6036QK, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28A6036QK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025QB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28A6036QK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28A6036QK/TL, Black)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28H5025VR/TL, Black Delight Red Pattern)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025VR, Black with Delight Red)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28H5025VR/TL, Black Delight Red Pattern)","SAMSUNG 28 L Convection Microwave Oven  (MC28H5025QB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28H5025VR/TL, Black Delight Red Pattern)","SAMSUNG 28 L Convection Microwave Oven  (MC28M6036CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven with SlimFry (MC28H5025VR/TL, Black Delight Red Pattern)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.902368927
"Samsung 32 L Convection Microwave Oven (MC32A7056CK/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056CB/TL, Black)",0.902368927
"Samsung 32 L Convection Microwave Oven (MC32A7056CK/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056CK/TL, Black)",0.902368927
"Samsung 32 L Convection Microwave Oven (MC32A7056QT/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056CB/TL, Black)",0.902368927
"Samsung 32 L Convection Microwave Oven (MC32A7056QT/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC32B7382QC/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056CB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC32B7382QC/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056CK/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC32B7382QD/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32A7056CB/TL, Black)",0.902368927
"Samsung 28 L Convection Microwave Oven (MC32B7382QD/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056CK/TL, Black)",0.902368927
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Grill Microwave Oven  (MG23A3515AK, BLACK)",0.902368927
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Solo Microwave Oven  (MS23J5133AG/TL, Black)",0.902368927
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Baker Series Grill Microwave Oven with Crusty Plate  (MG23T5012CK/TL, Black)",0.902368927
"LG 32 L Charcoal Convection Microwave Oven (MJEN326PK, Black, Charcoal Lighting Heater with 10 Yr. Warranty and 360° Motorised Rotisserie)","LG 32 L Convection Microwave Oven  (MJEN326PK, Black)",0.902368927
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043BP, Black)",0.902368927
"Voltas Beko, A Tata Product 20L, 700W smart solo Microwave oven (MS20MPW10, White)","Voltas Beko 20 L Smart Solo Microwave Oven  (MS20MPW10, White)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CD674MFDG,Silver, Rotisserie)","Panasonic 27 L Convection Microwave Oven  (NN-CD674MFDG, Silver)",0.902368927
"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 23 L Convection Microwave Oven  (NN-CT353BFDG, Black Mirror)",0.902368927
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection & Grill Microwave Oven  (NN-CT35MBFDG, SILVER)",0.902368927
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection Microwave Oven  (NN-CT36HBFDG, Black Mirror Floral)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",0.902368927
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",0.902368927
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",0.902368927
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Convection Microwave Oven  (NN-CT254BFDG, Black)",0.902368927
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",0.888888889
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",0.888888889
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",0.888888889
"Godrej 23 L Steam Clean, Digital Display Convection Microwave Oven With 205 Instacook Receipes (GME 523 CF1 RM, Floral Black, Stainless Steel Cavity With Godrej Instachef App)","Godrej 23 L Steam Clean, Stainless Steel Cavity, With 205 Insta Cook Recipes, Convection Microwave Oven  (GME 523 CF1 RM, Black)",0.867177991
"Samsung 28L, Slim Fry, Multi Spit , Convection Microwave Oven with Tandoor and Curd making(MC28A5025VP/TL, Black with Pattern, 10 Yr warranty)","SAMSUNG 28 L Convection Microwave Oven  (MC28A5025VP/TL, Black with Pattern)",0.859116756
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Stainless Steel Cavity, With 125 Insta Cook Menus, Convection Microwave Oven  (GMX 519 CP1 PZ, White Rose)",0.841201121
"Samsung 32 L Convection Microwave Oven (MC32A7056CK/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056QT/TL, Black)",0.804737854
"Samsung 32 L Convection Microwave Oven (MC32A7056QT/TL, Black, Slimfry)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056QT/TL, Black)",0.804737854
"Samsung 28 L Convection Microwave Oven (MC32B7382QC/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056QT/TL, Black)",0.804737854
"Samsung 28 L Convection Microwave Oven (MC32B7382QD/TL, Black)","SAMSUNG 32 L Convection Microwave Oven  (MC32K7056QT/TL, Black)",0.804737854
"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 23 L Convection Microwave Oven  (NN-CT36HBFDG, Black Mirror Floral)",0.804737854
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection Microwave Oven  (NN-CT35LBFDG, Black Floral)",0.804737854
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT644MFDG, Black)",0.804737854
"Samsung 28L, Slim Fry, Multi Spit , Convection Microwave Oven with Tandoor and Curd making(MC28A5025VP/TL, Black with Pattern, 10 Yr warranty)","SAMSUNG 28 L Slim Fry & Hot blast Convection Microwave Oven  (MC28M6035CK/TL, Black)",0.761485683
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",0.761485683
